,Embayment,Type 1,Lm,Lb,C,LmLog,LbLog,CLog
0,Tamiahua Lagoon,Barrier Estuary,135,20346,0.006635211,4.90527477843843,9.920639611353694,-5.015364810648598
1,Lagoon of Caratasca,Barrier Estuary,562,50805,0.011061903,6.331501849893691,10.835750053919982,-4.504248236206006
2,Lake Illawarra ,Barrier Estuary,414,8609,0.048089209,6.025865973825314,9.060563446657955,-3.0346974721538964
3,Pensacola Bay,Barrier Estuary,1613,31981,0.050436196,7.385851078125209,10.372897255442528,-2.987046187065614
4,San Diego Bay,Barrier Estuary,1422,17172,0.082809224,7.259819610363186,9.751035429344451,-2.4912158228293664
5,Términos Lagoon,Barrier Estuary,6660,72785,0.09150237,8.803874763534434,11.19526516899876,-2.3913904053967587
6,Ojo de Libre Lagoon,Barrier Estuary,3694,23733,0.155648253,8.214465160759186,10.074621763689507,-1.8601566060572836
7,Grays Harbour,Barrier Estuary,3380,20147,0.167766913,8.125630988477065,9.91081067291591,-1.785179685559851
8,Willapa Bay,Barrier Estuary,6984,40235,0.173580216,8.851377097519439,10.602492542580233,-1.751115446383819
9,Galveston Bay,Barrier Estuary,8371,38319,0.218455596,9.032528630660057,10.553701135710886,-1.5211725070668378
10,Tampa Bay,Barrier Estuary,10781,34000,0.317088235,9.285540604539118,10.4341158035983,-1.1485751999867382
11,Columbia River Estuary,Barrier Estuary,5263,12263,0.4291772,8.56845648535378,9.414341877762027,-0.8458853917242266
12,Abermarle Sound,Barrier Estuary,12205,23019,0.530214171,9.40960098282706,10.044075240845775,-0.6344742578344457
13,Saint Ignacio Lagoon,Barrier Estuary,3848,6794,0.566382102,8.255308811785596,8.82379514872053,-0.5684863366781753
14,Mobile Bay,Barrier Estuary,15797,18390,0.858999456,9.667575327569097,9.819562317598367,-0.15198699029261067
15,Gulf of Dulce,Coastal Plain,14581,27877,0.523047674,9.587474590316285,10.235557255067516,-0.6480826641958505
16,Reloncavi Sound,Fjord,11034,39311,0.280684796,9.308736693832376,10.579259656911983,-1.270522961669783
17,Yakutat Bay,Fjord,28042,26862,1.043928226,10.241458665281076,10.19846792746902,0.04299073805497768
18,San Francisco Bay,LSE,1688,83811,0.020140554,7.431299675155903,11.336319542772157,-3.905019884622179
19,Lake Maracaibo,LSE,7043,120752,0.058326156,8.85978949474541,11.70149413452465,-2.8417046412967744
20,Guanabara Bay,LSE,1690,26707,0.06327929,7.432483807917119,10.192680982311837,-2.7601971755603985
21,Port Phillip Bay,LSE,3472,51901,0.066896592,8.15248607578024,10.857093336791094,-2.7046072548495625
22,Waikare Inlet,LSE,482,6437,0.074879602,6.1779441140506,8.769817872052617,-2.5918737619978662
23,Kawhia Harbour,LSE,986,12339,0.079909231,6.893656354602635,9.420520256898534,-2.526863900968312
24,Manukau Harbour,LSE,1923,23754,0.080954787,7.56164174558878,10.075506216334185,-2.5138644653382296
25,Corner Inlet,LSE,2122,25119,0.084477885,7.660114319173928,10.131379810872541,-2.471265494848943
26,Tauranga Harbour,LSE,1257,14628,0.085931091,7.136483208590247,9.590692779269272,-2.4542095713568286
27,Raglan Harbour,LSE,612,6946,0.088108264,6.416732282512326,8.845921233304018,-2.42918894794202
28,Whanganui Inlet,LSE,1129,12255,0.092125663,7.029087564149662,9.413689295962213,-2.384601731754978
29,Aotea Harbour,LSE,704,6804,0.103468548,6.556778356158042,8.825265953515752,-2.2684875965168008
30,St George Basin,LSE,1904,17072,0.111527648,7.55171221535131,9.745194973541535,-2.1934827546944256
31,Awarua Bay,LSE,666,5575,0.119461883,6.501289670540389,8.62604759632832,-2.124757929203846
32,Bahia de Muertos,LSE,1281,10471,0.122337886,7.155396301896734,9.256364810287462,-2.1009685050292912
