"","diff","lwr","upr","p adj"
"Coastal Plain-Barrier Estuary",0.181312757124916,-2.31207861172705,2.67470412597688,0.999998387748859
"Fjord-Barrier Estuary",0.334619294247899,-1.48273634660188,2.15197493509768,0.999130093152338
"LSE-Barrier Estuary",-0.193145369720895,-0.952471821892928,0.566181082451138,0.993316095452033
"Macrotidal-Barrier Estuary",0.137152831245123,-0.777671696148163,1.05197735863841,0.999775436716997
"Open-Barrier Estuary",0.121875729211569,-0.655575623570375,0.899327081993513,0.999697841097514
"Ria-Barrier Estuary",-1.0732831589881,-2.23946018816101,0.0928938701848188,0.0943638770042761
"Tidal Inlet-Barrier Estuary",-0.851828204283249,-2.09852388870923,0.394867480142731,0.410569428706934
"Fjord-Coastal Plain",0.153306537122983,-2.80349189679347,3.11010497103944,0.999999845959821
"LSE-Coastal Plain",-0.374458126845811,-2.82730384446656,2.07838759077494,0.999746641842068
"Macrotidal-Coastal Plain",-0.0441599258797929,-2.54951007494132,2.46119022318174,0.999999999917718
"Open-Coastal Plain",-0.0594370279133472,-2.51795407268337,2.39908001685668,0.999999999250065
"Ria-Coastal Plain",-1.25459591611301,-3.86224702714241,1.35305519491638,0.809586513476972
"Tidal Inlet-Coastal Plain",-1.03314096140817,-3.67778187900901,1.61149995619268,0.926482820820582
"LSE-Fjord",-0.527764663968794,-2.28908039986441,1.23355107192682,0.982379512679319
"Macrotidal-Fjord",-0.197466463002776,-2.03119500792585,1.6362620819203,0.999975981823877
"Open-Fjord",-0.21274356503633,-1.98194877260492,1.55646164253226,0.999949102713162
"Ria-Fjord",-1.407902453236,-3.3791014091803,0.563296502708306,0.352442654059383
"Tidal Inlet-Fjord",-1.18644749853115,-3.20632536367837,0.833430366616075,0.607003758506541
"Macrotidal-LSE",0.330298200966018,-0.467420742086819,1.12801714401885,0.902413225350094
"Open-LSE",0.315021098932464,-0.320496172372935,0.950538370237863,0.785094791880228
"Ria-LSE",-0.880137789267202,-1.95690167218469,0.196626093650289,0.194055006323665
"Tidal Inlet-LSE",-0.658682834562354,-1.82216971706312,0.504804047938411,0.65083038880348
"Open-Macrotidal",-0.0152771020335543,-0.830267566443809,0.7997133623767,0.999999999873442
"Ria-Macrotidal",-1.21043599023322,-2.40196765767129,-0.0189043227951551,0.0437321778062332
"Tidal Inlet-Macrotidal",-0.988981035528372,-2.25942543836682,0.281463367310072,0.246881246144619
"Ria-Open",-1.19515888819967,-2.28478010886759,-0.10553766753174,0.0212961269034824
"Tidal Inlet-Open",-0.973703933494818,-2.14909989687297,0.201692029883335,0.180685553558704
"Tidal Inlet-Ria",0.221454954704848,-1.24042531677902,1.68333522618872,0.999759359261942
