"","diff","lwr","upr","p adj"
"Coastal Plain-Barrier Estuary",1.57929644740491,-1.5110218325993,4.66961472740911,0.757862324797088
"Fjord-Barrier Estuary",1.76691953664534,-0.485517617162861,4.01935669045354,0.238182302804222
"LSE-Barrier Estuary",-0.165736520535891,-1.10684847149223,0.775375430420451,0.999349352306864
"Macrotidal-Barrier Estuary",2.08806694221243,0.954230114461895,3.22190376996297,3.71401751353417e-06
"Open-Barrier Estuary",2.03030740392578,1.06673138560409,2.99388342224747,9.65040357625568e-08
"Ria-Barrier Estuary",-0.483355802155284,-1.92871982963782,0.96200822532725,0.967383762368909
"Tidal Inlet-Barrier Estuary",0.356616780324288,-1.18854235967781,1.90177592032639,0.996326302047914
"Fjord-Coastal Plain",0.18762308924043,-3.47704358313479,3.85228976161566,0.999999858927164
"LSE-Coastal Plain",-1.7450329679408,-4.78509882117408,1.29503288529248,0.634675926935999
"Macrotidal-Coastal Plain",0.508770494807527,-2.59636954063782,3.61391053025287,0.999595120543158
"Open-Coastal Plain",0.45101095652087,-2.59608396009181,3.49810587313354,0.99979383838091
"Ria-Coastal Plain",-2.06265224956019,-5.29458446724401,1.16927996812363,0.501112743274872
"Tidal Inlet-Coastal Plain",-1.22267966708062,-4.5004571848042,2.05509785064296,0.941788942337492
"LSE-Fjord",-1.93265605718123,-4.11563715011869,0.250325035756228,0.122190165259866
"Macrotidal-Fjord",0.321147405567096,-1.9515823847628,2.59387719589699,0.999848836094526
"Open-Fjord",0.263387867280439,-1.92937146538109,2.45614719994197,0.999949477755092
"Ria-Fjord",-2.25027533880062,-4.69338645371744,0.192835776116195,0.0938463851393753
"Tidal Inlet-Fjord",-1.41030275632105,-3.91374668735318,1.09314117471108,0.656498917115035
"Macrotidal-LSE",2.25380346274832,1.26510771974634,3.2424992057503,8.63378846194252e-09
"Open-LSE",2.19604392446167,1.40838152003226,2.98370632889107,4.86838347413254e-10
"Ria-LSE",-0.317619281619393,-1.65216433226675,1.01692576902797,0.995554175322279
"Tidal Inlet-LSE",0.522353300860178,-0.919676549107869,1.96438315082823,0.94999656674562
"Open-Macrotidal",-0.0577595382866569,-1.06786166732217,0.952342590748851,0.999999695653211
"Ria-Macrotidal",-2.57142274436772,-4.04821140221214,-1.0946340865233,1.39680988653357e-05
"Tidal Inlet-Macrotidal",-1.73145016188815,-3.30604354937884,-0.156856774397451,0.0207592142763113
"Ria-Open",-2.51366320608106,-3.86414368763538,-1.16318272452674,2.85139178057836e-06
"Tidal Inlet-Open",-1.67369062360149,-3.13048063147864,-0.216900615724342,0.0130203847845205
"Tidal Inlet-Ria",0.839972582479572,-0.971887112945698,2.65183227790484,0.837122389550992
