Embayment,Descriptor,Type 1,Type 2,P Lat,P Long,Lm,Lb,C
Tamiahua Lagoon,Lagoon,Barrier Estuary,Lagoon," 21°34'46.90""N"," 97°32'50.12""W",135,20346,0.006635211
Lagoon of Caratasca,Lagoon,Barrier Estuary,," 15°21'21.71""N"," 83°50'7.78""W",562,50805,0.011061903
Lake Illawarra ,Lake,Barrier Estuary,COAST. PLAIN," 34°31'21.44""S","150°50'18.66""E",414,8609,0.048089209
Pensacola Bay,Bay,Barrier Estuary,," 30°25'53.17""N"," 87° 7'0.43""W",1613,31981,0.050436196
San Diego Bay,Bay,Barrier Estuary,," 32°40'31.64""N","117° 8'39.01""W",1422,17172,0.082809224
Términos Lagoon,Lagoon,Barrier Estuary,Lagoon," 18°36'39.02""N"," 91°35'17.79""W",6660,72785,0.09150237
Ojo de Libre Lagoon,Lagoon,Barrier Estuary,," 27°45'8.47""N","114°11'42.58""W",3694,23733,0.155648253
Grays Harbour,Harbour,Barrier Estuary,," 46°56'8.80""N","124° 3'9.33""W",3380,20147,0.167766913
Willapa Bay,Bay,Barrier Estuary,," 46°34'7.17""N","123°58'59.52""W",6984,40235,0.173580216
Galveston Bay,Bay,Barrier Estuary,," 29°35'6.36""N"," 94°52'6.44""W",8371,38319,0.218455596
Tampa Bay,Bay,Barrier Estuary,," 27°46'38.84""N"," 82°33'30.61""W",10781,34000,0.317088235
Columbia River Estuary,Estuary,Barrier Estuary,Ria," 46°12'57.47""N","123°50'37.45""W",5263,12263,0.4291772
Abermarle Sound,Sound,Barrier Estuary,Macrotidal,,,12205,23019,0.530214171
Saint Ignacio Lagoon,Lagoon,Barrier Estuary,Tidal Inlet," 26°49'38.15""N","113°12'24.81""W",3848,6794,0.566382102
Mobile Bay,Bay,Barrier Estuary,Macrotidal,,,15797,18390,0.858999456
Gulf of Dulce,Gulf,Coastal Plain,,"  8°33'53.24""N"," 83°14'0.05""W",14581,27877,0.523047674
Reloncavi Sound,Sound,Fjord,LSE," 41°42'29.04""S"," 72°51'14.51""W",11034,39311,0.280684796
Yakutat Bay,Bay,Fjord,Macrotidal," 59°41'34.49""N","139°51'43.98""W",28042,26862,1.043928226
San Francisco Bay,Bay,LSE,Ria," 37°50'41.11""N","122°22'32.42""W",1688,83811,0.020140554
Lake Maracaibo,Lake,LSE,Barrier Estuary,"  9°59'53.60""N"," 71°36'41.84""W",7043,120752,0.058326156
Guanabara Bay,Bay,LSE,," 22°47'33.69""S"," 43° 8'23.09""W",1690,26707,0.06327929
Port Phillip Bay,Bay,LSE,," 38° 5'45.53""S","144°59'23.79""E",3472,51901,0.066896592
