Embayment,Alt Name,Papers,Descriptor,Type 1,Type 2,Size,Margin,Region,Country,Ocean/Water Body,Climate Zone (Koppen),Regional Process Dominance,Geology,P Lat,P Long,Lm,Lb,C,,L Inset,L Lat,L Long
Lake Illawarra ,,,Lake,Barrier Estuary,COAST. PLAIN,Medium,Passive,Oceania,Australia,,Cfb,Wave,," 34°31'21.44""S","150°50'18.66""E",414,8609,0.048089209,,,,
Grays Harbour,,,Harbour,Barrier Estuary,,,Active ,North America,United States of America,,Cfb,Wave,," 46°56'8.80""N","124° 3'9.33""W",3380,20147,0.167766913,,,,
Willapa Bay,,,Bay,Barrier Estuary,,,Active ,North America,United States of America,,Cfb,Wave,," 46°34'7.17""N","123°58'59.52""W",6984,40235,0.173580216,,,,
Columbia River Estuary,,,Estuary,Barrier Estuary,Ria,,Active ,North America,United States of America,,Cfb,Wave,," 46°12'57.47""N","123°50'37.45""W",5263,12263,0.4291772,,,,
San Diego Bay,,,Bay,Barrier Estuary,,,Active ,North America,United States of America,,Bsk,Wave,," 32°40'31.64""N","117° 8'39.01""W",1422,17172,0.082809224,,,,
Ojo de Libre Lagoon,,,Lagoon,Barrier Estuary,,,Active ,North America,Mexico,,BWh,Wave,," 27°45'8.47""N","114°11'42.58""W",3694,23733,0.155648253,,,,
Saint Ignacio Lagoon,Laguna San Ignacio,,Lagoon,Barrier Estuary,Tidal Inlet,,Active ,North America,Mexico,,BWh,Wave,," 26°49'38.15""N","113°12'24.81""W",3848,6794,0.566382102,,,,
Lagoon of Caratasca,Laguna de Caratasca,,Lagoon,Barrier Estuary,,,Active,Central America,Honduras,Atlantic,Am,Tide (?),," 15°21'21.71""N"," 83°50'7.78""W",562,50805,0.011061903,,,,
Términos Lagoon,Laguna de Términos,,Lagoon,Barrier Estuary,Lagoon,,Active,Central America,Mexico,Atlantic,Aw,,," 18°36'39.02""N"," 91°35'17.79""W",6660,72785,0.09150237,,,,
Tamiahua Lagoon,Laguna Tamiahua,,Lagoon,Barrier Estuary,Lagoon,,Passive,Central America,Mexico,Atlantic,Aw,Wave,," 21°34'46.90""N"," 97°32'50.12""W",135,20346,0.006635211,,,,
Galveston Bay,,,Bay,Barrier Estuary,,,Passive,North America,United States of America,Atlantic,Cfa,Wave (?),," 29°35'6.36""N"," 94°52'6.44""W",8371,38319,0.218455596,,,,
Tampa Bay,,,Bay,Barrier Estuary,,,Passive,North America,United States of America,Atlantic,Cfa,Wave,," 27°46'38.84""N"," 82°33'30.61""W",10781,34000,0.317088235,,,,
Mobile Bay,,,Bay,Barrier Estuary,Macrotidal,,Passive,North America,United States of America,Atlantic,Cfa,Wave,,,,15797,18390,0.858999456,,,,
Pensacola Bay,,,Bay,Barrier Estuary,,,Passive,North America,United States of America,Atlantic,Cfa,Wave,," 30°25'53.17""N"," 87° 7'0.43""W",1613,31981,0.050436196,,,,
Abermarle Sound,,,Sound,Barrier Estuary,Macrotidal,,Passive,North America,United States of America,Atlantic,Cfa,Wave (?),,,,12205,23019,0.530214171,,,,
Gulf of Dulce,Golfo Dulce,,Gulf,Coastal Plain,,,Active ,Central America,Costa Rica,,Am,Mixed (?),,"  8°33'53.24""N"," 83°14'0.05""W",14581,27877,0.523047674,,,,
Yakutat Bay,,,Bay,Fjord,Macrotidal,,Active ,North America,United States of America,,Dfc,Wave (?),," 59°41'34.49""N","139°51'43.98""W",28042,26862,1.043928226,,,,
Reloncavi Sound,Seno Reloncavi,,Sound,Fjord,LSE,,Active,South America,Chile,,Cfb,Wave,," 41°42'29.04""S"," 72°51'14.51""W",11034,39311,0.280684796,,,,
Aotea Harbour,,Y,Harbour,LSE,Tidal,,,,,,,,," 37°58'48.16""S","174°50'54.30""E",704,6804,0.103468548,,,,
Botany Bay,,Y,Bay,LSE,Ria,Medium,,Oceania,Australia,,Cfb,,," 33°59'27.52""S","151°12'12.48""E",1115,7948,#REF!,,,,
Kaipara Harbour,,Y,Harbour,LSE,Ria,Large,Active,Oceania,New Zealand,,Cfb,Wave (?),Hard," 36°23'14.53""S","174°12'27.57""E",7196,58071,0.123917274,,,,
Kawhia Harbour,,Yes,Harbour,LSE,Tidal,Medium,Active,Oceania,New Zealand,,Cfb,Wave (?),Soft," 38° 5'45.47""S","174°49'56.60""E",986,12339,0.079909231,,,,
Manukau Harbour,,,Harbour,LSE,Ria,Large,Active,Oceania,New Zealand,,Cfb,Wave (?),Hard," 37° 1'20.72""S","174°41'19.42""E",1923,23754,0.080954787,,,,
Port Phillip Bay,,y,Bay,LSE,,Large,Passive,Oceania,Australia,Tasman Sea,Cfb,,Hard," 38° 5'45.53""S","144°59'23.79""E",3472,51901,0.066896592,,,,
Raglan Harbour,,Yes,Harbour,LSE,Tidal,Medium,Active,Oceania,New Zealand,,Cfb,,Hard," 37°47'37.70""S","174°54'33.79""E",612,6946,0.088108264,,,,
San Francisco Bay,,y,Bay,LSE,Ria,Large,Active,North America,United States of America,,Csc,Wave,Hard," 37°50'41.11""N","122°22'32.42""W",1688,83811,0.020140554,,,,
Wellington Harbour,,y,Harbour,LSE,,Large,Active,Oceania,New Zealand,,Cfb,Wave (?),Hard," 41°15'16.86""S","174°51'44.42""E",2693,11533,0.233503858,,,,
Western Port Bay,,y,Bay,LSE,,Large,Passive,Oceania,Australia,Tasman Sea,Cfb,Wave,Hard," 38°23'22.29""S","145°19'30.08""E",7690,23135,0.332396801,,,,
Whanganui Inlet,,y,Inlet,LSE,Tidal,Large,Active,Oceania,New Zealand,,Cfb,Wave (?),Hard," 40°35'49.03""S","172°33'41.85""E",1129,12255,0.092125663,,,,
Corner Inlet,,,Inlet,LSE,TDL,Large,Passive,Oceania,Australia,Tasman Sea,Cfb,Wave,," 38°46'24.41""S","146°20'17.37""E",2122,25119,0.084477885,,,,
Jervis Bay,,,Bay,LSE,BAR EST.,Large,Passive,Oceania,Australia,,Cfb,Wave,," 35° 4'28.84""S","150°44'51.56""E",3551,16171,0.219590625,,,,
St George Basin,,,Basin,LSE,Macrotidal,Large,Passive,Oceania,Australia,,BWh,Tide,," 15°24'37.84""S","125° 1'7.34""E",1904,17072,0.111527648,,,,
Waitamata Harbour,,,Harbour,LSE,,Large,Active ,Oceania ,New Zealand,,Cfb,Wave (?),," 36°49'59.27""S","174°41'28.44""E",1775,8093,0.219325343,,,,
Frith of Thames,,,Frith,LSE,Open,Large,Active ,Oceania ,New Zealand,,Cfb,Wave (?),," 37° 7'5.52""S","175°25'3.07""E",16516,21660,0.762511542,,,,
Tauranga Harbour,,,Harbour,LSE,Bar Est.,Large,Active ,Oceania ,New Zealand,,Cfb,Wave (?),," 37°35'36.91""S","176° 0'4.67""E",1257,14628,0.085931091,,,,
Paterson Inlet,,,Inlet,LSE,,Large,Active,Oceania,New Zealand,,Cfb,Wave (?),," 46°55'53.55""S","168° 5'18.60""E",1529,6222,0.245740919,,,,
Conception Bay,Bahi Concepcion,,Bay,LSE,,,Active ,North America,Mexico,,BWh,Tide (?),," 26°41'7.09""N","111°49'10.58""W",3860,9676,0.398925176,,,,
New Gulf,Golfo Nuevo,,Gulf,LSE,,,Passive,South America,Argentina,Atlantic,BWk,Wave (?),," 42°43'15.41""S"," 64°31'37.54""W",16370,67664,0.241930716,,,,
Guanabara Bay,,,Bay,LSE,,,Passive,South America,Brazil,Atlantic,Aw,Wave,," 22°47'33.69""S"," 43° 8'23.09""W",1690,26707,0.06327929,,,,
All Saints Bay,Baía de Todods os Santos,,Bay,LSE,,,Passive,South America,Brazil,Atlantic,Af,Wave,," 12°52'41.22""S"," 38°34'25.64""W",9205,34902,0.263738468,,,,
Lake Maracaibo,,,Lake,LSE,Barrier Estuary,,Active,South America,Venezuela,Atlantic,Aw,Tide (?),,"  9°59'53.60""N"," 71°36'41.84""W",7043,120752,0.058326156,,,,
San Jose Bay,,,Bay,LSE,,,Active,Central America,Belize,Atlantic,Aw,,," 18°27'25.20""N"," 88° 8'35.54""W",12688,65324,0.194231829,,,,
Cobscook Bay,,,Bay,LSE,Ria,,Passive,North America,United States of America,Atlantic,Dfb,,," 44°53'52.16""N"," 67° 5'18.86""W",3330,14559,0.2287245,,,,
Passamaquoddy Bay,,,Bay,LSE,Ria,,Passive ,North America,Canada,Atlantic,Dfb,,," 45° 3'40.59""N"," 66°59'4.10""W",2781,18911,0.147057268,,,,
Minas Basin,,,Basin,LSE,Macrotidal,,Passive,North America,Canada,Atlantic,Dfb,,," 45°18'37.58""N"," 64°10'4.94""W",4719,30900,0.152718447,,,,
